#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
-4.0,2,1406.061183
-4.0,2,1406.216296
-4.0,2,1406.478484
-282.0,59,1410.421787
-21.0,5,1410.714961
-4.0,2,1410.915499
30.0,15,1411.949971
-12.0,4,1412.569628
-8.0,3,1412.848942
-4.0,2,1412.989062
-62.0,14,1414.054687
-8.0,3,1414.346042
-278.0,58,1417.9442
-4.0,2,1418.115797
-4.0,2,1418.256021
-75.0,35,1420.36194
-88.0,18,1421.500734
-8.0,3,1421.83915
-25.0,6,1422.347548
-4.0,2,1422.625075
-8.0,3,1422.840149
-137.0,29,1424.950192
-33.0,8,1425.525035
-32.0,9,1426.172864
-4.0,2,1426.357688
-59.0,12,1427.036732
-4.0,2,1427.237931
-346.0,75,1432.12836
-4.0,2,1432.434862
-4.0,2,1432.604675
-4.0,2,1432.822162
68.0,8,1433.472368
-4.0,2,1433.718884
-16.0,5,1434.151205
-50.0,11,1434.960601
-203.0,43,1438.114547
56.0,11,1438.852615
72.0,7,1439.286342
-4.0,2,1439.521452
-42.0,9,1440.10902
-62.0,14,1441.237682
-4.0,2,1441.406455
-24.0,7,1441.979196
-4.0,2,1442.225363
-33.0,8,1442.752096
-4.0,2,1442.923636
-21.0,5,1443.58963
-361.0,75,1448.815948
-4.0,2,1449.001032
-24.0,7,1449.637836
30.0,15,1450.583279
-4.0,2,1450.753023
-4.0,2,1450.950741
-4.0,2,1451.182981
-4.0,2,1451.383671
-8.0,3,1451.785232
72.0,7,1452.345557
-356.0,75,1457.904495
-24.0,7,1458.363695
-117.0,24,1460.087507
-29.0,7,1484.891463
-4.0,2,1485.031194
-12.0,4,1485.340275
-16.0,5,1485.803219
-42.0,9,1486.496562
-12.0,4,1486.821289
-4.0,2,1487.111249
-4.0,2,1487.283253
-8.0,3,1487.546092
-4.0,2,1487.717032
-25.0,6,1488.300454
-4.0,2,1488.531155
-4.0,2,1488.653334
-4.0,2,1489.054321
-4.0,2,1489.439811
-4.0,2,1489.792822
-8.0,3,1490.165347
-24.0,7,1490.721455
-160.0,36,1492.296891
-4.0,2,1492.344203
-215.0,46,1493.639836
-62.0,14,1494.22684
-4.0,2,1494.351497
-8.0,3,1494.520158
-4.0,2,1494.615021
-4.0,2,1494.753488
52.0,12,1495.061173
-4.0,2,1495.169384
-4.0,2,1495.338373
-46.0,10,1495.676447
-16.0,5,1495.876658
-42.0,9,1496.249426
-4.0,2,1496.310348
-4.0,2,1496.450127
64.0,9,1496.943431
-32.0,9,1497.188032
18.0,18,1497.774586
-4.0,2,1497.866634
-4.0,2,1497.912526
-4.0,2,1498.005959
-45.0,11,1498.468665
-4.0,2,1498.51473
-4.0,2,1498.560838
-63.0,13,1499.120952
-4.0,2,1499.214314
